id,name,gender,popularity
40096,Guel Arraes,2,0.732
98,Ridley Scott,2,11.461
77,Christopher Nolan,2,14.387
843,Wong Kar-wai,2,9.716
641,Darren Aronofsky,2,8.469
16,Lars von Trier,2,7.701
2440,Park Chan-wook,2,8.304
107,Guy Ritchie,2,30.444
29458,Marco Tullio Giordana,2,2.393
18079,Fabián Bielinsky,2,1.151
50531,Giacomo Poretti,2,2.692
8358,Robert Zemeckis,2,8.57
10637,Boaz Yakin,2,5.339
55,Alejandro González Iñárritu,2,4.735
71,Stephen Daldry,2,4.526
11688,Mark Dindal,2,2.366
13930,Ralph Eggleston,2,1.401
786,Cameron Crowe,2,2.672
11978,"George Tillman, Jr.",2,5.639
462,Steven Soderbergh,2,7.112
10867,Giuseppe Tornatore,2,2.597
146,Ang Lee,2,6.257
1359,Mary Harron,1,4.551
134,Ethan Coen,2,3.712
16234,Curt Geda,2,2.398
3176,Kinji Fukasaku,2,2.905
10647,Mimi Leder,1,2.55
10501,Don Paul,2,0.6
10559,Gregory Hoblit,2,1.942
2024,Roland Emmerich,2,8.55
10876,Philip Kaufman,2,3.332
243,Stephen Frears,2,6.529
9741,M. Night Shyamalan,2,8.631
10564,Matt Williams,2,3.562
711,Gus Van Sant,2,5.401
1900,Steven Soderbergh,2,7.112
11973,Roger Donaldson,2,4.474
11826,Jonathan Glazer,2,1.218
36657,Bryan Singer,2,5.375
392,Lasse Hallström,2,8.913
60670,Mathieu Kassovitz,2,10.914
2787,David Twohy,2,3.291
11004,Curtis Hanson,2,1.4
9871,John Fawcett,2,2.334
16366,Robert C. Ramirez,2,1.22
5994,Brett Ratner,2,3.47
8871,Ron Howard,2,19.622
7443,Peter Lord,2,3.078
14181,Ben Younger,2,1.865
1597,Jay Roach,2,5.489
10393,Howard Deutch,2,8.393
7450,Don Bluth,2,4.156
2123,Peter Farrelly,2,5.409
9532,James Wong,2,2.438
4958,Robert Redford,2,17.85
10567,Eric Leighton,2,0.6
1493,Donald Petrie,2,2.834
10569,Woody Allen,2,14.092
10991,Kunihiko Yuyama,2,5.749
4244,Jon Turteltaub,2,8.277
1907,Danny Boyle,2,5.043
3536,Jonathan Mostow,2,6.933
2069,Jonathan Lynn,2,4.698
10898,Jim Kammerud,2,0.888
