id,title,genre,language,release_date,budget,revenue,rating,vote_count
40096,A Dog's Will,Comedy,pt,2000-09-15,0,4903192,8.387,976
98,Gladiator,Action,en,2000-05-04,103000000,465361176,8.205,16317
77,Memento,Mystery,en,2000-10-11,9000000,39723096,8.19,13198
843,In the Mood for Love,Drama,cn,2000-09-29,150000,12854953,8.111,2175
641,Requiem for a Dream,Crime,en,2000-10-06,4500000,7390108,8.033,8796
16,Dancer in the Dark,Drama,en,2000-06-30,12800000,40031879,7.887,1540
2440,Joint Security Area,War,ko,2000-09-09,12500000,0,7.864,557
107,Snatch,Crime,en,2000-09-01,10000000,83557872,7.801,7957
29458,One Hundred Steps,Drama,it,2000-09-01,0,1805884,7.797,586
18079,Nine Queens,Crime,es,2000-08-31,1300000,12413888,7.765,585
50531,Ask Me If I Am Happy,Comedy,it,2000-12-15,0,0,7.662,1546
8358,Cast Away,Adventure,en,2000-12-22,90000000,429632142,7.657,10151
10637,Remember the Titans,Drama,en,2000-09-29,30000000,136706683,7.625,2313
55,Amores Perros,Drama,es,2000-06-16,2000000,20908467,7.623,2232
71,Billy Elliot,Drama,en,2000-09-28,5000000,109280263,7.59,3449
11688,The Emperor's New Groove,Adventure,en,2000-12-15,100000000,169327687,7.548,5878
13930,For the Birds,Animation,en,2000-11-02,0,0,7.491,1066
786,Almost Famous,Drama,en,2000-09-15,60000000,47386287,7.5,2347
11978,Men of Honor,Drama,en,2000-09-13,32000000,82343495,7.444,1962
462,Erin Brockovich,Drama,en,2000-03-17,52000000,256271286,7.424,2722
10867,Malena,Drama,it,2000-03-16,0,14493284,7.42,1899
146,"Crouching Tiger, Hidden Dragon",Adventure,zh,2000-07-06,17000000,213525736,7.4,2785
1359,American Psycho,Thriller,en,2000-04-13,7000000,34266564,7.391,9227
134,"O Brother, Where Art Thou?",Adventure,en,2000-08-30,26000000,71870729,7.328,3614
16234,Batman Beyond: Return of the Joker,Animation,en,2000-12-12,0,0,7.316,983
